"","pair","TimeDays","mcluster","hcluster","fed"
"89","ERR1315245_casper-ERR1310169_casper",27,2,1,"humanfood"
"90","ERR1315245_casper-ERR1310170_casper",34,2,1,"humanfood"
"91","ERR1315245_casper-ERR1310171_casper",14,2,1,"humanfood"
"92","ERR1315245_casper-ERR1310172_casper",18,2,1,"humanfood"
"93","ERR1315245_casper-ERR1310173_casper",24,2,1,"humanfood"
"94","ERR1315245_casper-ERR1310174_casper",27,2,1,"humanfood"
"95","ERR1315245_casper-ERR1310175_casper",34,2,1,"humanfood"
"96","ERR1314295_casper-ERR1310176_casper",14,1,1,"humanfood"
"97","ERR1314295_casper-ERR1310177_casper",18,1,1,"humanfood"
"98","ERR1314295_casper-ERR1310178_casper",24,1,1,"humanfood"
"99","ERR1314295_casper-ERR1310179_casper",27,1,1,"humanfood"
"100","ERR1314295_casper-ERR1310180_casper",34,1,1,"humanfood"
"101","ERR1314295_casper-ERR1310181_casper",14,1,1,"humanfood"
"102","ERR1314295_casper-ERR1310182_casper",18,1,1,"humanfood"
"103","ERR1314295_casper-ERR1310183_casper",24,1,1,"humanfood"
"104","ERR1314295_casper-ERR1310184_casper",27,1,1,"humanfood"
"105","ERR1314295_casper-ERR1310185_casper",34,1,1,"humanfood"
"106","ERR1314295_casper-ERR1310186_casper",14,1,1,"humanfood"
"107","ERR1314295_casper-ERR1310187_casper",18,1,1,"humanfood"
"108","ERR1314295_casper-ERR1310188_casper",24,1,1,"humanfood"
"109","ERR1314295_casper-ERR1310189_casper",27,1,1,"humanfood"
"110","ERR1314295_casper-ERR1310190_casper",34,1,1,"humanfood"
"111","ERR1314295_casper-ERR1310191_casper",14,1,1,"humanfood"
"112","ERR1314295_casper-ERR1310192_casper",18,1,1,"humanfood"
"113","ERR1314295_casper-ERR1310193_casper",24,1,1,"humanfood"
"114","ERR1314295_casper-ERR1310194_casper",27,1,1,"humanfood"
"115","ERR1314295_casper-ERR1310195_casper",34,1,1,"humanfood"
"116","ERR1314295_casper-ERR1310196_casper",14,1,1,"humanfood"
"117","ERR1314295_casper-ERR1310197_casper",24,1,1,"humanfood"
"118","ERR1314295_casper-ERR1310198_casper",18,1,1,"humanfood"
"119","ERR1314295_casper-ERR1310199_casper",27,1,1,"humanfood"
"120","ERR1314295_casper-ERR1310200_casper",34,1,1,"humanfood"
"121","ERR1313593_casper-ERR1310201_casper",14,2,2,"humanfood"
"122","ERR1313593_casper-ERR1310202_casper",18,2,2,"humanfood"
"123","ERR1313593_casper-ERR1310203_casper",27,2,2,"humanfood"
"124","ERR1313593_casper-ERR1310204_casper",24,2,2,"humanfood"
"125","ERR1313593_casper-ERR1310205_casper",34,2,2,"humanfood"
"126","ERR1313593_casper-ERR1310206_casper",14,2,2,"humanfood"
"127","ERR1313593_casper-ERR1310207_casper",18,2,2,"humanfood"
"128","ERR1313593_casper-ERR1310208_casper",24,2,2,"humanfood"
"129","ERR1313593_casper-ERR1310209_casper",27,2,2,"humanfood"
"130","ERR1313593_casper-ERR1310210_casper",34,2,2,"humanfood"
"131","ERR1313593_casper-ERR1310211_casper",14,2,2,"humanfood"
"132","ERR1313593_casper-ERR1310212_casper",24,2,2,"humanfood"
"133","ERR1313593_casper-ERR1310213_casper",18,2,2,"humanfood"
"134","ERR1313593_casper-ERR1310214_casper",27,2,2,"humanfood"
"135","ERR1313593_casper-ERR1310215_casper",34,2,2,"humanfood"
"136","ERR1313593_casper-ERR1310216_casper",14,2,2,"humanfood"
"137","ERR1313593_casper-ERR1310217_casper",18,2,2,"humanfood"
"138","ERR1313593_casper-ERR1310218_casper",24,2,2,"humanfood"
"139","ERR1313593_casper-ERR1310219_casper",27,2,2,"humanfood"
"140","ERR1313593_casper-ERR1310220_casper",34,2,2,"humanfood"
"141","ERR1314557_casper-ERR1310221_casper",14,1,1,"humanfood"
"142","ERR1314557_casper-ERR1310222_casper",18,1,1,"humanfood"
"143","ERR1314557_casper-ERR1310223_casper",27,1,1,"humanfood"
"144","ERR1314557_casper-ERR1310224_casper",24,1,1,"humanfood"
"145","ERR1314557_casper-ERR1310225_casper",34,1,1,"humanfood"
"146","ERR1314557_casper-ERR1310226_casper",14,1,1,"humanfood"
"147","ERR1314557_casper-ERR1310227_casper",24,1,1,"humanfood"
"148","ERR1314557_casper-ERR1310228_casper",18,1,1,"humanfood"
"149","ERR1314557_casper-ERR1310229_casper",27,1,1,"humanfood"
"150","ERR1314557_casper-ERR1310230_casper",34,1,1,"humanfood"
"151","ERR1314557_casper-ERR1310231_casper",18,1,1,"humanfood"
"152","ERR1314557_casper-ERR1310232_casper",14,1,1,"humanfood"
"153","ERR1314557_casper-ERR1310233_casper",24,1,1,"humanfood"
"154","ERR1314557_casper-ERR1310234_casper",27,1,1,"humanfood"
"155","ERR1314557_casper-ERR1310235_casper",34,1,1,"humanfood"
"156","ERR1314557_casper-ERR1310236_casper",14,1,1,"humanfood"
"157","ERR1314557_casper-ERR1310237_casper",18,1,1,"humanfood"
"158","ERR1314557_casper-ERR1310238_casper",24,1,1,"humanfood"
"159","ERR1314557_casper-ERR1310239_casper",27,1,1,"humanfood"
"160","ERR1314557_casper-ERR1310240_casper",34,1,1,"humanfood"
"161","ERR1314557_casper-ERR1310241_casper",14,1,1,"humanfood"
"162","ERR1314557_casper-ERR1310242_casper",24,1,1,"humanfood"
"163","ERR1314557_casper-ERR1310243_casper",18,1,1,"humanfood"
"164","ERR1314557_casper-ERR1310244_casper",27,1,1,"humanfood"
"165","ERR1314557_casper-ERR1310245_casper",34,1,1,"humanfood"
"166","ERR1313594_casper-ERR1310246_casper",14,2,2,"humanfood"
"167","ERR1313594_casper-ERR1310247_casper",24,2,2,"humanfood"
"168","ERR1313594_casper-ERR1310248_casper",18,2,2,"humanfood"
"169","ERR1313594_casper-ERR1310249_casper",27,2,2,"humanfood"
"170","ERR1313594_casper-ERR1310250_casper",34,2,2,"humanfood"
"171","ERR1313594_casper-ERR1310251_casper",14,2,2,"humanfood"
"172","ERR1313594_casper-ERR1310252_casper",18,2,2,"humanfood"
"173","ERR1313594_casper-ERR1310253_casper",24,2,2,"humanfood"
"174","ERR1313594_casper-ERR1310254_casper",27,2,2,"humanfood"
"175","ERR1313594_casper-ERR1310255_casper",34,2,2,"humanfood"
"176","ERR1313594_casper-ERR1310256_casper",14,2,2,"humanfood"
"177","ERR1313594_casper-ERR1310257_casper",18,2,2,"humanfood"
"178","ERR1313594_casper-ERR1310258_casper",24,2,2,"humanfood"
"179","ERR1313594_casper-ERR1310259_casper",27,2,2,"humanfood"
"180","ERR1313594_casper-ERR1310260_casper",14,2,2,"humanfood"
"181","ERR1313594_casper-ERR1310261_casper",24,2,2,"humanfood"
"182","ERR1313594_casper-ERR1310262_casper",18,2,2,"humanfood"
"183","ERR1313594_casper-ERR1310263_casper",27,2,2,"humanfood"
"184","ERR1313594_casper-ERR1310264_casper",34,2,2,"humanfood"
"185","ERR1763132_casper-ERR1762820_casper",13,2,3,"humanfood"
"186","ERR1763132_casper-ERR1762821_casper",15,2,3,"humanfood"
"187","ERR1763132_casper-ERR1762822_casper",20,3,3,"humanfood"
"188","ERR1763132_casper-ERR1762823_casper",23,3,3,"humanfood"
"189","ERR1763132_casper-ERR1762824_casper",25,3,3,"humanfood"
"190","ERR1763132_casper-ERR1762825_casper",27,3,3,"humanfood"
"191","ERR1763132_casper-ERR1762826_casper",29,3,3,"humanfood"
"192","ERR1763132_casper-ERR1762827_casper",31,3,3,"humanfood"
"193","ERR1763132_casper-ERR1762828_casper",38,3,3,"humanfood"
"194","ERR1763132_casper-ERR1762830_casper",69,3,3,"humanfood"
"195","ERR1763132_casper-ERR1762831_casper",71,3,3,"humanfood"
"196","ERR1763132_casper-ERR1762832_casper",73,3,3,"humanfood"
"197","ERR1763132_casper-ERR1762833_casper",78,3,3,"humanfood"
"198","ERR1763132_casper-ERR1762834_casper",40,3,3,"humanfood"
"199","ERR1763132_casper-ERR1762835_casper",42,3,3,"humanfood"
"200","ERR1763132_casper-ERR1762836_casper",45,3,3,"humanfood"
"201","ERR1763132_casper-ERR1762837_casper",48,3,3,"humanfood"
"202","ERR1763132_casper-ERR1762838_casper",52,3,3,"humanfood"
"203","ERR1763132_casper-ERR1762839_casper",54,3,3,"humanfood"
"204","ERR1763132_casper-ERR1762841_casper",56,3,3,"humanfood"
"205","ERR1763132_casper-ERR1762842_casper",59,3,3,"humanfood"
"206","ERR1763132_casper-ERR1762843_casper",62,3,3,"humanfood"
"207","ERR1763132_casper-ERR1762844_casper",66,3,3,"humanfood"
"208","ERR1763132_casper-ERR1762845_casper",10,3,3,"humanfood"
"209","ERR1763132_casper-ERR1762846_casper",2,3,3,"humanfood"
"210","ERR1763132_casper-ERR1762847_casper",4,3,3,"humanfood"
"211","ERR1763132_casper-ERR1762848_casper",6,2,3,"humanfood"
"212","ERR1763132_casper-ERR1762849_casper",13,2,3,"humanfood"
"213","ERR1763132_casper-ERR1762850_casper",15,2,3,"humanfood"
"214","ERR1763132_casper-ERR1762852_casper",17,2,3,"humanfood"
"215","ERR1763132_casper-ERR1762853_casper",20,2,3,"humanfood"
"216","ERR1763132_casper-ERR1762854_casper",23,3,3,"humanfood"
"217","ERR1763132_casper-ERR1762855_casper",25,3,3,"humanfood"
"218","ERR1763132_casper-ERR1762856_casper",27,3,3,"humanfood"
"219","ERR1763132_casper-ERR1762857_casper",29,3,3,"humanfood"
"220","ERR1763132_casper-ERR1762858_casper",31,3,3,"humanfood"
"221","ERR1763132_casper-ERR1762859_casper",38,3,3,"humanfood"
"222","ERR1763132_casper-ERR1762860_casper",69,3,3,"humanfood"
"223","ERR1763132_casper-ERR1762861_casper",71,3,3,"humanfood"
"224","ERR1763132_casper-ERR1762863_casper",73,3,3,"humanfood"
"225","ERR1763132_casper-ERR1762864_casper",78,3,3,"humanfood"
"226","ERR1763576_casper-ERR1762865_casper",40,3,3,"humanfood"
"227","ERR1763576_casper-ERR1762866_casper",42,3,3,"humanfood"
"228","ERR1763576_casper-ERR1762867_casper",45,3,3,"humanfood"
"229","ERR1763576_casper-ERR1762868_casper",48,3,3,"humanfood"
"230","ERR1763576_casper-ERR1762869_casper",52,3,3,"humanfood"
"231","ERR1763576_casper-ERR1762870_casper",54,3,3,"humanfood"
"232","ERR1763576_casper-ERR1762871_casper",56,3,3,"humanfood"
"233","ERR1763576_casper-ERR1762872_casper",59,3,3,"humanfood"
"234","ERR1763576_casper-ERR1762874_casper",62,3,3,"humanfood"
"235","ERR1763576_casper-ERR1762875_casper",66,3,3,"humanfood"
"236","ERR1763576_casper-ERR1762876_casper",10,3,3,"humanfood"
"237","ERR1763576_casper-ERR1762877_casper",2,3,3,"humanfood"
"238","ERR1763576_casper-ERR1762878_casper",4,3,3,"humanfood"
"239","ERR1763576_casper-ERR1762879_casper",6,3,3,"humanfood"
"240","ERR1763576_casper-ERR1762880_casper",13,3,3,"humanfood"
"241","ERR1763576_casper-ERR1762881_casper",15,3,3,"humanfood"
"242","ERR1763576_casper-ERR1762882_casper",17,3,3,"humanfood"
"243","ERR1763576_casper-ERR1762883_casper",20,2,3,"humanfood"
"244","ERR1763576_casper-ERR1762885_casper",23,3,3,"humanfood"
"245","ERR1763576_casper-ERR1762886_casper",25,3,3,"humanfood"
"246","ERR1763576_casper-ERR1762887_casper",27,3,3,"humanfood"
"247","ERR1763576_casper-ERR1762888_casper",31,3,3,"humanfood"
"248","ERR1763576_casper-ERR1762889_casper",38,3,3,"humanfood"
"249","ERR1763576_casper-ERR1762890_casper",69,3,3,"humanfood"
"250","ERR1763576_casper-ERR1762891_casper",71,3,3,"humanfood"
"251","ERR1763576_casper-ERR1762892_casper",78,3,3,"humanfood"
"252","ERR1763576_casper-ERR1762893_casper",40,3,3,"humanfood"
"253","ERR1763576_casper-ERR1762894_casper",42,3,3,"humanfood"
"254","ERR1763576_casper-ERR1762896_casper",48,3,3,"humanfood"
"255","ERR1763576_casper-ERR1762897_casper",52,3,3,"humanfood"
"256","ERR1763576_casper-ERR1762898_casper",54,3,3,"humanfood"
"257","ERR1763576_casper-ERR1762899_casper",56,3,3,"humanfood"
"258","ERR1763576_casper-ERR1762900_casper",59,3,3,"humanfood"
"259","ERR1763576_casper-ERR1762901_casper",62,3,3,"humanfood"
"260","ERR1763576_casper-ERR1762902_casper",66,3,3,"humanfood"
"261","ERR1763576_casper-ERR1762903_casper",10,3,3,"humanfood"
"262","ERR1763576_casper-ERR1762904_casper",2,3,3,"humanfood"
"263","ERR1763576_casper-ERR1762905_casper",4,3,3,"humanfood"
"264","ERR1763576_casper-ERR1762907_casper",6,3,3,"humanfood"
"265","ERR1763576_casper-ERR1762908_casper",13,3,3,"humanfood"
"266","ERR1763576_casper-ERR1762909_casper",15,3,3,"humanfood"
"267","ERR1763576_casper-ERR1762910_casper",17,2,3,"humanfood"
"268","ERR1763576_casper-ERR1762911_casper",20,3,3,"humanfood"
"269","ERR1763576_casper-ERR1762912_casper",23,3,3,"humanfood"
"270","ERR1763576_casper-ERR1762913_casper",25,3,3,"humanfood"
"271","ERR1763576_casper-ERR1762914_casper",27,3,3,"humanfood"
"272","ERR1763576_casper-ERR1762915_casper",29,3,3,"humanfood"
"273","ERR1763576_casper-ERR1762916_casper",31,3,3,"humanfood"
"274","ERR1763576_casper-ERR1762918_casper",38,3,3,"humanfood"
"275","ERR1763576_casper-ERR1762919_casper",69,3,3,"humanfood"
"276","ERR1763576_casper-ERR1762920_casper",71,3,3,"humanfood"
"277","ERR1763576_casper-ERR1762921_casper",73,3,3,"humanfood"
"278","ERR1763576_casper-ERR1762922_casper",78,3,3,"humanfood"
"279","ERR1763576_casper-ERR1762923_casper",42,3,3,"humanfood"
"280","ERR1763576_casper-ERR1762924_casper",45,3,3,"humanfood"
"281","ERR1763576_casper-ERR1762925_casper",48,3,3,"humanfood"
"282","ERR1763576_casper-ERR1762926_casper",52,3,3,"humanfood"
"283","ERR1763576_casper-ERR1762927_casper",54,3,3,"humanfood"
"284","ERR1763576_casper-ERR1762930_casper",56,3,3,"humanfood"
"285","ERR1763576_casper-ERR1762931_casper",59,3,3,"humanfood"
"286","ERR1763576_casper-ERR1762932_casper",62,3,3,"humanfood"
"287","ERR1763576_casper-ERR1762933_casper",66,3,3,"humanfood"
"288","ERR1763576_casper-ERR1762934_casper",10,3,3,"humanfood"
"289","ERR1763576_casper-ERR1762935_casper",2,3,3,"humanfood"
"290","ERR1763576_casper-ERR1762936_casper",4,3,3,"humanfood"
"291","ERR1763576_casper-ERR1762937_casper",6,3,3,"humanfood"
"292","ERR1763576_casper-ERR1762938_casper",13,3,3,"humanfood"
"293","ERR1763576_casper-ERR1762939_casper",15,3,3,"humanfood"
"294","ERR1763576_casper-ERR1762941_casper",17,3,3,"humanfood"
"295","ERR1763576_casper-ERR1762942_casper",20,2,3,"humanfood"
"296","ERR1763576_casper-ERR1762943_casper",23,3,3,"humanfood"
"297","ERR1763576_casper-ERR1762944_casper",25,3,3,"humanfood"
"298","ERR1763576_casper-ERR1762945_casper",27,3,3,"humanfood"
"299","ERR1763576_casper-ERR1762946_casper",29,3,3,"humanfood"
"300","ERR1763576_casper-ERR1762947_casper",31,3,3,"humanfood"
"301","ERR1763576_casper-ERR1762948_casper",38,3,3,"humanfood"
"302","ERR1763576_casper-ERR1762949_casper",69,3,3,"humanfood"
"303","ERR1763576_casper-ERR1762950_casper",71,3,3,"humanfood"
"304","ERR1763576_casper-ERR1762952_casper",73,3,3,"humanfood"
"305","ERR1763576_casper-ERR1762953_casper",78,3,3,"humanfood"
"306","ERR1763576_casper-ERR1762954_casper",40,3,3,"humanfood"
"307","ERR1763576_casper-ERR1762955_casper",42,3,3,"humanfood"
"308","ERR1763576_casper-ERR1762956_casper",45,3,3,"humanfood"
"309","ERR1763576_casper-ERR1762957_casper",48,3,3,"humanfood"
"310","ERR1763576_casper-ERR1762958_casper",52,3,3,"humanfood"
"311","ERR1763576_casper-ERR1762959_casper",54,3,3,"humanfood"
"312","ERR1763576_casper-ERR1762960_casper",56,3,3,"humanfood"
"313","ERR1763576_casper-ERR1762961_casper",59,3,3,"humanfood"
"314","ERR1763576_casper-ERR1762963_casper",62,3,3,"humanfood"
"315","ERR1763576_casper-ERR1762964_casper",66,3,3,"humanfood"
"316","ERR1763576_casper-ERR1762965_casper",10,3,3,"humanfood"
"317","ERR1763576_casper-ERR1762966_casper",2,3,3,"humanfood"
"318","ERR1763576_casper-ERR1762967_casper",4,3,3,"humanfood"
"319","ERR1763576_casper-ERR1762968_casper",6,3,3,"humanfood"
"320","ERR1763576_casper-ERR1762969_casper",13,3,3,"humanfood"
"321","ERR1763576_casper-ERR1762970_casper",15,3,3,"humanfood"
"322","ERR1763576_casper-ERR1762971_casper",17,3,3,"humanfood"
"323","ERR1763576_casper-ERR1762972_casper",20,2,3,"humanfood"
"324","ERR1763576_casper-ERR1762974_casper",23,3,3,"humanfood"
"325","ERR1763576_casper-ERR1762975_casper",25,3,3,"humanfood"
"326","ERR1763576_casper-ERR1762976_casper",27,3,3,"humanfood"
"327","ERR1763576_casper-ERR1762977_casper",29,3,3,"humanfood"
"328","ERR1763576_casper-ERR1762978_casper",31,3,3,"humanfood"
"329","ERR1763576_casper-ERR1762979_casper",38,3,3,"humanfood"
"330","ERR1763576_casper-ERR1762980_casper",69,3,3,"humanfood"
"331","ERR1763576_casper-ERR1762981_casper",71,3,3,"humanfood"
"332","ERR1763576_casper-ERR1762982_casper",73,3,3,"humanfood"
"333","ERR1763576_casper-ERR1762983_casper",78,3,3,"humanfood"
"334","ERR1763576_casper-ERR1762985_casper",40,3,3,"humanfood"
"335","ERR1763576_casper-ERR1762986_casper",42,3,3,"humanfood"
"336","ERR1763576_casper-ERR1762987_casper",45,3,3,"humanfood"
"337","ERR1763576_casper-ERR1762988_casper",48,3,3,"humanfood"
"338","ERR1763576_casper-ERR1762989_casper",52,3,3,"humanfood"
"339","ERR1763576_casper-ERR1762990_casper",54,3,3,"humanfood"
"340","ERR1763576_casper-ERR1762991_casper",56,3,3,"humanfood"
"341","ERR1763576_casper-ERR1762992_casper",59,3,3,"humanfood"
"342","ERR1763576_casper-ERR1762993_casper",62,3,3,"humanfood"
"343","ERR1763576_casper-ERR1762994_casper",66,3,3,"humanfood"
"344","ERR1763576_casper-ERR1762996_casper",10,3,3,"humanfood"
"345","ERR1763576_casper-ERR1762997_casper",2,3,3,"humanfood"
"346","ERR1763576_casper-ERR1762998_casper",4,3,3,"humanfood"
"347","ERR1763576_casper-ERR1762999_casper",6,3,3,"humanfood"
"348","ERR1763576_casper-ERR1763000_casper",13,2,3,"humanfood"
"349","ERR1763576_casper-ERR1763001_casper",15,3,3,"humanfood"
"350","ERR1763576_casper-ERR1763002_casper",17,3,3,"humanfood"
"351","ERR1763576_casper-ERR1763003_casper",20,2,3,"humanfood"
"352","ERR1763576_casper-ERR1763004_casper",23,3,3,"humanfood"
"353","ERR1763576_casper-ERR1763005_casper",25,3,3,"humanfood"
"354","ERR1763576_casper-ERR1763007_casper",27,3,3,"humanfood"
"355","ERR1763576_casper-ERR1763008_casper",29,3,3,"humanfood"
"356","ERR1763576_casper-ERR1763009_casper",31,3,3,"humanfood"
"357","ERR1763576_casper-ERR1763010_casper",38,3,3,"humanfood"
"358","ERR1763576_casper-ERR1763011_casper",69,3,3,"humanfood"
"359","ERR1763576_casper-ERR1763012_casper",71,3,3,"humanfood"
"360","ERR1763576_casper-ERR1763013_casper",73,3,3,"humanfood"
"361","ERR1763576_casper-ERR1763014_casper",78,3,3,"humanfood"
"362","ERR1762929_casper-ERR1763015_casper",79,2,2,"humanfood"
"363","ERR1762929_casper-ERR1763016_casper",79,2,2,"humanfood"
"364","ERR1762929_casper-ERR1763018_casper",79,2,2,"humanfood"
"365","ERR1762929_casper-ERR1763019_casper",79,2,2,"humanfood"
"366","ERR1762929_casper-ERR1763020_casper",79,2,2,"humanfood"
"367","ERR1763132_casper-ERR1763021_casper",79,3,3,"humanfood"
"368","ERR1763132_casper-ERR1763022_casper",79,3,3,"humanfood"
"369","ERR1763132_casper-ERR1763023_casper",79,3,3,"humanfood"
"370","ERR1763132_casper-ERR1763024_casper",79,3,3,"humanfood"
"371","ERR1763132_casper-ERR1763025_casper",79,2,3,"humanfood"
"372","ERR1762929_casper-ERR1763026_casper",79,3,2,"humanfood"
"373","ERR1762929_casper-ERR1763027_casper",79,3,2,"humanfood"
"374","ERR1762929_casper-ERR1763029_casper",79,3,2,"humanfood"
"375","ERR1762929_casper-ERR1763030_casper",79,3,2,"humanfood"
"376","ERR1762929_casper-ERR1763031_casper",79,3,2,"humanfood"
"377","ERR1763576_casper-ERR1763032_casper",79,3,3,"humanfood"
"378","ERR1763576_casper-ERR1763033_casper",79,3,3,"humanfood"
"379","ERR1763576_casper-ERR1763034_casper",79,3,3,"humanfood"
"380","ERR1763576_casper-ERR1763035_casper",79,3,3,"humanfood"
"381","ERR1763576_casper-ERR1763036_casper",79,3,3,"humanfood"
"382","ERR1763132_casper-ERR1763207_casper",1.5,3,3,"humanfood"
"383","ERR1763132_casper-ERR1763208_casper",2,3,3,"humanfood"
"384","ERR1763132_casper-ERR1763210_casper",8,2,3,"humanfood"
"385","ERR1763132_casper-ERR1763211_casper",15,2,3,"humanfood"
"386","ERR1763132_casper-ERR1763212_casper",22,2,3,"humanfood"
