"","Genus","human","mouse","pair","reduced_pct","sample_count"
"2","Bacteroides","19.1587910545523","75.5612493899463","ERR661365.mseq-ERR661367.mseq",1.97964002864219,578
"4","Alistipes","9.10451950968466","8.28696925329429","ERR661365.mseq-ERR661367.mseq",-0.135738311662402,499
"5","Coprococcus","6.21939427965441","0.129331381161542","ERR661365.mseq-ERR661367.mseq",-5.58762979954817,11
"6","Oscillibacter","3.71479367455787","0.146412884333821","ERR661365.mseq-ERR661367.mseq",-4.66516766196877,130
"7","Ruminiclostridium","3.51673372633418","0.175695461200586","ERR661365.mseq-ERR661367.mseq",-4.3230872764136,439
"8","Streptococcus","3.02392314650198","0.11469009272816","ERR661365.mseq-ERR661367.mseq",-4.72060879614233,60
"9","Parabacteroides","2.92099435451171","10.5636896046852","ERR661365.mseq-ERR661367.mseq",1.85458234125614,448
"10","Peptoniphilus","2.71357724337981","0.263543191800878","ERR661365.mseq-ERR661367.mseq",-3.3640846482858,68
"12","Blautia","2.1490284145847","0.771107857491459","ERR661365.mseq-ERR661367.mseq",-1.47867998424036,464
"18","Algoriphagus","0.941954399426094","0.285505124450952","ERR661365.mseq-ERR661367.mseq",-1.72214057945485,22
"20","Lachnoclostridium","0.748573032656499","1.52269399707174","ERR661365.mseq-ERR661367.mseq",1.02441106354055,431
"23","Barnesiella","0.439786656685693","0.305026842362128","ERR661365.mseq-ERR661367.mseq",-0.527867627449879,265
"28","Clostridium","0.233929072705156","1.02977061981454","ERR661365.mseq-ERR661367.mseq",2.13817993849813,349
"118","Bacteroides","19.1587910545523","69.8010806095995","ERR661365.mseq-ERR661368.mseq",1.86524284341245,578
"120","Alistipes","9.10451950968466","13.1005742252805","ERR661365.mseq-ERR661368.mseq",0.524975263253824,499
"123","Ruminiclostridium","3.51673372633418","0.222906016039542","ERR661365.mseq-ERR661368.mseq",-3.97972864441164,439
"125","Parabacteroides","2.92099435451171","6.03299978193977","ERR661365.mseq-ERR661368.mseq",1.04641596038649,448
"126","Peptoniphilus","2.71357724337981","0.477309621302062","ERR661365.mseq-ERR661368.mseq",-2.50719865360563,68
"128","Blautia","2.1490284145847","0.891624064158166","ERR661365.mseq-ERR661368.mseq",-1.26917709897319,464
"134","Algoriphagus","0.941954399426094","1.2211373052601","ERR661365.mseq-ERR661368.mseq",0.374496301848927,22
"136","Lachnoclostridium","0.748573032656499","3.44292879121944","ERR661365.mseq-ERR661368.mseq",2.20142136130835,431
"139","Barnesiella","0.439786656685693","0.535459016790638","ERR661365.mseq-ERR661368.mseq",0.283972324666724,265
"143","Hespellia","0.268238670035245","0.152642163157512","ERR661365.mseq-ERR661368.mseq",-0.813363713528095,11
"144","Clostridium","0.233929072705156","3.01407699949119","ERR661365.mseq-ERR661368.mseq",3.68757319730881,349
"234","Bacteroides","19.1587910545523","72.9368986855775","ERR661365.mseq-ERR661369.mseq",1.92864232889202,578
"235","Bifidobacterium","9.62696110539284","0.124215185871087","ERR661365.mseq-ERR661369.mseq",-6.27616699613253,225
"236","Alistipes","9.10451950968466","8.23885451014048","ERR661365.mseq-ERR661369.mseq",-0.144139114971723,499
"239","Ruminiclostridium","3.51673372633418","0.115181354171372","ERR661365.mseq-ERR661369.mseq",-4.93225700980545,439
"241","Parabacteroides","2.92099435451171","10.3527711278739","ERR661365.mseq-ERR661369.mseq",1.82548551087966,448
"242","Peptoniphilus","2.71357724337981","0.322959483264827","ERR661365.mseq-ERR661369.mseq",-3.0707708875919,68
"244","Blautia","2.1490284145847","1.32571480193324","ERR661365.mseq-ERR661369.mseq",-0.696914113228439,464
"250","Algoriphagus","0.941954399426094","0.508153033108993","ERR661365.mseq-ERR661369.mseq",-0.890394181742241,22
"252","Lachnoclostridium","0.748573032656499","2.71466642576449","ERR661365.mseq-ERR661369.mseq",1.85855995146847,431
"255","Barnesiella","0.439786656685693","0.264239577216676","ERR661365.mseq-ERR661369.mseq",-0.73495726644959,265
"259","Hespellia","0.268238670035245","0.103889064546727","ERR661365.mseq-ERR661369.mseq",-1.36847343227929,11
"260","Clostridium","0.233929072705156","1.81805862956773","ERR661365.mseq-ERR661369.mseq",2.9582556488719,349
"347","Bacteroides","32.7568332954057","2.39137114461597","ERR661371.mseq-ERR661372.mseq",-3.77588593280823,578
"353","Ruminiclostridium","4.62717135705075","0.30302709231731","ERR661371.mseq-ERR661372.mseq",-3.93261183732562,439
"354","Parabacteroides","4.61200030342107","0.285014992424323","ERR661371.mseq-ERR661372.mseq",-4.01628289254072,448
"357","Clostridium","1.6688158992642","95.6908699844248","ERR661371.mseq-ERR661372.mseq",5.84148456838966,349
"362","Bifidobacterium","1.03668866469443","0.121846558099618","ERR661371.mseq-ERR661372.mseq",-3.08884528949367,225
"442","Bacteroides","32.7568332954057","57.7617618998356","ERR661371.mseq-ERR661373.mseq",0.818318855324379,578
"444","Ruminococcus","9.72211686768313","1.54717978780877","ERR661371.mseq-ERR661373.mseq",-2.65162962375146,122
"445","Alistipes","5.86108371893095","2.95527431980413","ERR661371.mseq-ERR661373.mseq",-0.987875391685398,499
"448","Ruminiclostridium","4.62717135705075","0.221846730347023","ERR661371.mseq-ERR661373.mseq",-4.38249533141591,439
"449","Parabacteroides","4.61200030342107","7.19450095980321","ERR661371.mseq-ERR661373.mseq",0.641502011266558,448
"450","Algoriphagus","1.81041239980783","1.79086635171328","ERR661371.mseq-ERR661373.mseq",-0.0156606947151631,22
"452","Clostridium","1.6688158992642","5.62548133843696","ERR661371.mseq-ERR661373.mseq",1.753151736321,349
