Pair_mouse,Experimental condition information,Human Gender,Condition
ERR1310185 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310186 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310187 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310188 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310189 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310190 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310191 ,Infant formula,,Infant formula
ERR1310192 ,Infant formula,,Infant formula
ERR1310193 ,Infant formula,,Infant formula
ERR1310194 ,Infant formula,,Infant formula
ERR1310195 ,Infant formula,,Infant formula
ERR1310196 ,Infant formula,,Infant formula
ERR1310197 ,Infant formula,,Infant formula
ERR1310198 ,Infant formula,,Infant formula
ERR1310199 ,Infant formula,,Infant formula
ERR1310200 ,Infant formula,,Infant formula
ERR1310201 ,Infant formula,,Infant formula
ERR1310202 ,Infant formula,,Infant formula
ERR1310203 ,Infant formula,,Infant formula
ERR1310204 ,Infant formula,,Infant formula
ERR1310205 ,Infant formula,,Infant formula
ERR1310206 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310207 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310208 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310209 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310210 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310211 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310212 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310213 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310214 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310215 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310216 ,Infant formula,,Infant formula
ERR1310217 ,Infant formula,,Infant formula
ERR1310218 ,Infant formula,,Infant formula
ERR1310219 ,Infant formula,,Infant formula
ERR1310220 ,Infant formula,,Infant formula
ERR1310221 ,Infant formula,,Infant formula
ERR1310222 ,Infant formula,,Infant formula
ERR1310223 ,Infant formula,,Infant formula
ERR1310224 ,Infant formula,,Infant formula
ERR1310225 ,Infant formula,,Infant formula
ERR1310226 ,Infant formula,,Infant formula
ERR1310227 ,Infant formula,,Infant formula
ERR1310228 ,Infant formula,,Infant formula
ERR1310229 ,Infant formula,,Infant formula
ERR1310230 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310231 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310232 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310233 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310234 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310235 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310236 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310237 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310238 ,Infant formula,,Infant formula
ERR1310239 ,Infant formula,,Infant formula
ERR1310240 ,Infant formula,,Infant formula
ERR1310241 ,Infant formula,,Infant formula
ERR1310242 ,Infant formula,,Infant formula
ERR1310243 ,Infant formula,,Infant formula
ERR1310244 ,Infant formula,,Infant formula
ERR1310245 ,Infant formula,,Infant formula
ERR1310246 ,Infant formula,,Infant formula
ERR1310247 ,Infant formula,,Infant formula
ERR1310248 ,Infant formula,,Infant formula
ERR1310249 ,Infant formula,,Infant formula
ERR1310250 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310251 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310252 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310253 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310254 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310255 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310256 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310257 ,Infant formula + fruits and vegetables,,Infant formula + fruits and vegetables
ERR1310258 ,Infant formula,,Infant formula
ERR1310259 ,Infant formula,,Infant formula
ERR1310260 ,Infant formula,,Infant formula
ERR1310261 ,Infant formula,,Infant formula
ERR1310262 ,Infant formula,,Infant formula
ERR1310263 ,Infant formula,,Infant formula
ERR1310264 ,Infant formula,,Infant formula
ERR1762820 ,1001.CH.Mfec.CRON1.M4.Diet2.AMERdiet.AdLib.d13,,1001.CH.Mfec.CRON1.M4.Diet2.AMERdiet.AdLib.d13
ERR1762821 ,1002.CH.Mfec.CRON1.M4.Diet2.AMERdiet.AdLib.d15,,1002.CH.Mfec.CRON1.M4.Diet2.AMERdiet.AdLib.d15
ERR1762822 ,1003.CH.Mfec.CRON1.M4.Diet2.AMERdiet.AdLib.d20,,1003.CH.Mfec.CRON1.M4.Diet2.AMERdiet.AdLib.d20
ERR1762823 ,1004.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d23; mouse gut metagenome,,1004.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d23; mouse gut metagenome
ERR1762824 ,1005.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d25; mouse gut metagenome,,1005.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d25; mouse gut metagenome
ERR1762825 ,1006.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d27,,1006.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d27
ERR1762826 ,1007.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d29,,1007.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d29
ERR1762827 ,1008.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d31; mouse gut metagenome,,1008.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d31; mouse gut metagenome
ERR1762828 ,1009.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d38; mouse gut metagenome,,1009.CH.Mfec.CRON1.M4.CRONdiet.CRONdiet.Restricted.d38; mouse gut metagenome
ERR1762830 ,1010.CH.Mfec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome,,1010.CH.Mfec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome
ERR1762831 ,1011.CH.Mfec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome,,1011.CH.Mfec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome
ERR1762832 ,1012.CH.Mfec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d73,,1012.CH.Mfec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d73
ERR1762833 ,1013.CH.Mfec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d78,,1013.CH.Mfec.CRON1.M4.PostCohousing.CRONdiet.Restricted.d78
ERR1762834 ,1014.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d40,,1014.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d40
ERR1762835 ,1015.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d42; mouse gut metagenome,,1015.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d42; mouse gut metagenome
ERR1762836 ,1016.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d45,,1016.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d45
ERR1762837 ,1017.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d48; mouse gut metagenome,,1017.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d48; mouse gut metagenome
ERR1762838 ,1018.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d52; mouse gut metagenome,,1018.CH.Mfec.CRON1.M5.Cohousing1.CRONdiet.Restricted.d52; mouse gut metagenome
ERR1762839 ,1019.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d54,,1019.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d54
ERR1762841 ,1020.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d56,,1020.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d56
ERR1762842 ,1021.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d59; mouse gut metagenome,,1021.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d59; mouse gut metagenome
ERR1762843 ,1022.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d62,,1022.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d62
ERR1762844 ,1023.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d66,,1023.CH.Mfec.CRON1.M5.Cohousing2.CRONdiet.Restricted.d66
ERR1762845 ,1024.CH.Mfec.CRON1.M5.Diet1.CRONdiet.Restricted.d10,,1024.CH.Mfec.CRON1.M5.Diet1.CRONdiet.Restricted.d10
ERR1762846 ,1025.CH.Mfec.CRON1.M5.Diet1.CRONdiet.Restricted.d2,,1025.CH.Mfec.CRON1.M5.Diet1.CRONdiet.Restricted.d2
ERR1762847 ,1026.CH.Mfec.CRON1.M5.Diet1.CRONdiet.Restricted.d4,,1026.CH.Mfec.CRON1.M5.Diet1.CRONdiet.Restricted.d4
ERR1762848 ,1027.CH.Mfec.CRON1.M5.Diet1.CRONdiet.Restricted.d6,,1027.CH.Mfec.CRON1.M5.Diet1.CRONdiet.Restricted.d6
ERR1762849 ,1028.CH.Mfec.CRON1.M5.Diet2.AMERdiet.AdLib.d13,,1028.CH.Mfec.CRON1.M5.Diet2.AMERdiet.AdLib.d13
ERR1762850 ,1029.CH.Mfec.CRON1.M5.Diet2.AMERdiet.AdLib.d15,,1029.CH.Mfec.CRON1.M5.Diet2.AMERdiet.AdLib.d15
ERR1762852 ,1030.CH.Mfec.CRON1.M5.Diet2.AMERdiet.AdLib.d17,,1030.CH.Mfec.CRON1.M5.Diet2.AMERdiet.AdLib.d17
ERR1762853 ,1031.CH.Mfec.CRON1.M5.Diet2.AMERdiet.AdLib.d20,,1031.CH.Mfec.CRON1.M5.Diet2.AMERdiet.AdLib.d20
ERR1762854 ,1032.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d23,,1032.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d23
ERR1762855 ,1033.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d25,,1033.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d25
ERR1762856 ,1034.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d27; mouse gut metagenome,,1034.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d27; mouse gut metagenome
ERR1762857 ,1035.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d29,,1035.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d29
ERR1762858 ,1036.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d31,,1036.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d31
ERR1762859 ,1037.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d38; mouse gut metagenome,,1037.CH.Mfec.CRON1.M5.CRONdiet.CRONdiet.Restricted.d38; mouse gut metagenome
ERR1762860 ,1038.CH.Mfec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d69,,1038.CH.Mfec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d69
ERR1762861 ,1039.CH.Mfec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d71,,1039.CH.Mfec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d71
ERR1762863 ,1040.CH.Mfec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d73,,1040.CH.Mfec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d73
ERR1762864 ,1041.CH.Mfec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d78,,1041.CH.Mfec.CRON1.M5.PostCohousing.CRONdiet.Restricted.d78
ERR1762865 ,1042.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d40,,1042.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d40
ERR1762866 ,1043.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d42; mouse gut metagenome,,1043.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d42; mouse gut metagenome
ERR1762867 ,1044.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d45,,1044.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d45
ERR1762868 ,1045.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d48,,1045.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d48
ERR1762869 ,1046.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d52; mouse gut metagenome,,1046.CH.Mfec.CRON5.M1.Cohousing1.CRONdiet.Restricted.d52; mouse gut metagenome
ERR1762870 ,1047.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d54; mouse gut metagenome,,1047.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d54; mouse gut metagenome
ERR1762871 ,1048.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d56; mouse gut metagenome,,1048.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d56; mouse gut metagenome
ERR1762872 ,1049.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d59,,1049.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d59
ERR1762874 ,1050.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d62; mouse gut metagenome,,1050.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d62; mouse gut metagenome
ERR1762875 ,1051.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d66,,1051.CH.Mfec.CRON5.M1.Cohousing2.CRONdiet.Restricted.d66
ERR1762876 ,1052.CH.Mfec.CRON5.M1.Diet1.CRONdiet.Restricted.d10,,1052.CH.Mfec.CRON5.M1.Diet1.CRONdiet.Restricted.d10
ERR1762877 ,1053.CH.Mfec.CRON5.M1.Diet1.CRONdiet.Restricted.d2,,1053.CH.Mfec.CRON5.M1.Diet1.CRONdiet.Restricted.d2
ERR1762878 ,1054.CH.Mfec.CRON5.M1.Diet1.CRONdiet.Restricted.d4,,1054.CH.Mfec.CRON5.M1.Diet1.CRONdiet.Restricted.d4
ERR1762879 ,1055.CH.Mfec.CRON5.M1.Diet1.CRONdiet.Restricted.d6,,1055.CH.Mfec.CRON5.M1.Diet1.CRONdiet.Restricted.d6
ERR1762880 ,1056.CH.Mfec.CRON5.M1.Diet2.AMERdiet.AdLib.d13,,1056.CH.Mfec.CRON5.M1.Diet2.AMERdiet.AdLib.d13
ERR1762881 ,1057.CH.Mfec.CRON5.M1.Diet2.AMERdiet.AdLib.d15,,1057.CH.Mfec.CRON5.M1.Diet2.AMERdiet.AdLib.d15
ERR1762882 ,1058.CH.Mfec.CRON5.M1.Diet2.AMERdiet.AdLib.d17,,1058.CH.Mfec.CRON5.M1.Diet2.AMERdiet.AdLib.d17
ERR1762883 ,1059.CH.Mfec.CRON5.M1.Diet2.AMERdiet.AdLib.d20,,1059.CH.Mfec.CRON5.M1.Diet2.AMERdiet.AdLib.d20
ERR1762885 ,1060.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d23,,1060.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d23
ERR1762886 ,1061.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d25,,1061.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d25
ERR1762887 ,1062.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d27,,1062.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d27
ERR1762888 ,1063.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d31,,1063.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d31
ERR1762889 ,1064.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d38,,1064.CH.Mfec.CRON5.M1.CRONdiet.CRONdiet.Restricted.d38
ERR1762890 ,1065.CH.Mfec.CRON5.M1.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome,,1065.CH.Mfec.CRON5.M1.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome
ERR1762891 ,1066.CH.Mfec.CRON5.M1.PostCohousing.CRONdiet.Restricted.d71,,1066.CH.Mfec.CRON5.M1.PostCohousing.CRONdiet.Restricted.d71
ERR1762892 ,1067.CH.Mfec.CRON5.M1.PostCohousing.CRONdiet.Restricted.d78,,1067.CH.Mfec.CRON5.M1.PostCohousing.CRONdiet.Restricted.d78
ERR1762893 ,1068.CH.Mfec.CRON5.M2.Cohousing1.CRONdiet.Restricted.d40,,1068.CH.Mfec.CRON5.M2.Cohousing1.CRONdiet.Restricted.d40
ERR1762894 ,1069.CH.Mfec.CRON5.M2.Cohousing1.CRONdiet.Restricted.d42,,1069.CH.Mfec.CRON5.M2.Cohousing1.CRONdiet.Restricted.d42
ERR1762896 ,1070.CH.Mfec.CRON5.M2.Cohousing1.CRONdiet.Restricted.d48; mouse gut metagenome,,1070.CH.Mfec.CRON5.M2.Cohousing1.CRONdiet.Restricted.d48; mouse gut metagenome
ERR1762897 ,1071.CH.Mfec.CRON5.M2.Cohousing1.CRONdiet.Restricted.d52,,1071.CH.Mfec.CRON5.M2.Cohousing1.CRONdiet.Restricted.d52
ERR1762898 ,1072.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d54,,1072.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d54
ERR1762899 ,1073.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d56; mouse gut metagenome,,1073.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d56; mouse gut metagenome
ERR1762900 ,1074.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d59,,1074.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d59
ERR1762901 ,1075.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d62,,1075.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d62
ERR1762902 ,1076.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d66,,1076.CH.Mfec.CRON5.M2.Cohousing2.CRONdiet.Restricted.d66
ERR1762903 ,1077.CH.Mfec.CRON5.M2.Diet1.CRONdiet.Restricted.d10,,1077.CH.Mfec.CRON5.M2.Diet1.CRONdiet.Restricted.d10
ERR1762904 ,1078.CH.Mfec.CRON5.M2.Diet1.CRONdiet.Restricted.d2,,1078.CH.Mfec.CRON5.M2.Diet1.CRONdiet.Restricted.d2
ERR1762905 ,1079.CH.Mfec.CRON5.M2.Diet1.CRONdiet.Restricted.d4; mouse gut metagenome,,1079.CH.Mfec.CRON5.M2.Diet1.CRONdiet.Restricted.d4; mouse gut metagenome
ERR1762907 ,1080.CH.Mfec.CRON5.M2.Diet1.CRONdiet.Restricted.d6,,1080.CH.Mfec.CRON5.M2.Diet1.CRONdiet.Restricted.d6
ERR1762908 ,1081.CH.Mfec.CRON5.M2.Diet2.AMERdiet.AdLib.d13,,1081.CH.Mfec.CRON5.M2.Diet2.AMERdiet.AdLib.d13
ERR1762909 ,1082.CH.Mfec.CRON5.M2.Diet2.AMERdiet.AdLib.d15,,1082.CH.Mfec.CRON5.M2.Diet2.AMERdiet.AdLib.d15
ERR1762910 ,1083.CH.Mfec.CRON5.M2.Diet2.AMERdiet.AdLib.d17,,1083.CH.Mfec.CRON5.M2.Diet2.AMERdiet.AdLib.d17
ERR1762911 ,1084.CH.Mfec.CRON5.M2.Diet2.AMERdiet.AdLib.d20,,1084.CH.Mfec.CRON5.M2.Diet2.AMERdiet.AdLib.d20
ERR1762912 ,1085.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d23,,1085.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d23
ERR1762913 ,1086.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d25,,1086.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d25
ERR1762914 ,1087.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d27,,1087.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d27
ERR1762915 ,1088.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d29,,1088.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d29
ERR1762916 ,1089.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d31,,1089.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d31
ERR1762918 ,1090.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d38,,1090.CH.Mfec.CRON5.M2.CRONdiet.CRONdiet.Restricted.d38
ERR1762919 ,1091.CH.Mfec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome,,1091.CH.Mfec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome
ERR1762920 ,1092.CH.Mfec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome,,1092.CH.Mfec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome
ERR1762921 ,1093.CH.Mfec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d73,,1093.CH.Mfec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d73
ERR1762922 ,1094.CH.Mfec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d78,,1094.CH.Mfec.CRON5.M2.PostCohousing.CRONdiet.Restricted.d78
ERR1762923 ,1095.CH.Mfec.CRON5.M3.Cohousing1.CRONdiet.Restricted.d42; mouse gut metagenome,,1095.CH.Mfec.CRON5.M3.Cohousing1.CRONdiet.Restricted.d42; mouse gut metagenome
ERR1762924 ,1096.CH.Mfec.CRON5.M3.Cohousing1.CRONdiet.Restricted.d45,,1096.CH.Mfec.CRON5.M3.Cohousing1.CRONdiet.Restricted.d45
ERR1762925 ,1097.CH.Mfec.CRON5.M3.Cohousing1.CRONdiet.Restricted.d48; mouse gut metagenome,,1097.CH.Mfec.CRON5.M3.Cohousing1.CRONdiet.Restricted.d48; mouse gut metagenome
ERR1762926 ,1098.CH.Mfec.CRON5.M3.Cohousing1.CRONdiet.Restricted.d52,,1098.CH.Mfec.CRON5.M3.Cohousing1.CRONdiet.Restricted.d52
ERR1762927 ,1099.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d54,,1099.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d54
ERR1762930 ,1100.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d56,,1100.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d56
ERR1762931 ,1101.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d59,,1101.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d59
ERR1762932 ,1102.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d62; mouse gut metagenome,,1102.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d62; mouse gut metagenome
ERR1762933 ,1103.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d66,,1103.CH.Mfec.CRON5.M3.Cohousing2.CRONdiet.Restricted.d66
ERR1762934 ,1104.CH.Mfec.CRON5.M3.Diet1.CRONdiet.Restricted.d10,,1104.CH.Mfec.CRON5.M3.Diet1.CRONdiet.Restricted.d10
ERR1762935 ,1105.CH.Mfec.CRON5.M3.Diet1.CRONdiet.Restricted.d2,,1105.CH.Mfec.CRON5.M3.Diet1.CRONdiet.Restricted.d2
ERR1762936 ,1106.CH.Mfec.CRON5.M3.Diet1.CRONdiet.Restricted.d4,,1106.CH.Mfec.CRON5.M3.Diet1.CRONdiet.Restricted.d4
ERR1762937 ,1107.CH.Mfec.CRON5.M3.Diet1.CRONdiet.Restricted.d6; mouse gut metagenome,,1107.CH.Mfec.CRON5.M3.Diet1.CRONdiet.Restricted.d6; mouse gut metagenome
ERR1762938 ,1108.CH.Mfec.CRON5.M3.Diet2.AMERdiet.AdLib.d13,,1108.CH.Mfec.CRON5.M3.Diet2.AMERdiet.AdLib.d13
ERR1762939 ,1109.CH.Mfec.CRON5.M3.Diet2.AMERdiet.AdLib.d15; mouse gut metagenome,,1109.CH.Mfec.CRON5.M3.Diet2.AMERdiet.AdLib.d15; mouse gut metagenome
ERR1762941 ,1110.CH.Mfec.CRON5.M3.Diet2.AMERdiet.AdLib.d17; mouse gut metagenome,,1110.CH.Mfec.CRON5.M3.Diet2.AMERdiet.AdLib.d17; mouse gut metagenome
ERR1762942 ,1111.CH.Mfec.CRON5.M3.Diet2.AMERdiet.AdLib.d20; mouse gut metagenome,,1111.CH.Mfec.CRON5.M3.Diet2.AMERdiet.AdLib.d20; mouse gut metagenome
ERR1762943 ,1112.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d23,,1112.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d23
ERR1762944 ,1113.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d25,,1113.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d25
ERR1762945 ,1114.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d27,,1114.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d27
ERR1762946 ,1115.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d29,,1115.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d29
ERR1762947 ,1116.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d31,,1116.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d31
ERR1762948 ,1117.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d38; mouse gut metagenome,,1117.CH.Mfec.CRON5.M3.CRONdiet.CRONdiet.Restricted.d38; mouse gut metagenome
ERR1762949 ,1118.CH.Mfec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome,,1118.CH.Mfec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d69; mouse gut metagenome
ERR1762950 ,1119.CH.Mfec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome,,1119.CH.Mfec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d71; mouse gut metagenome
ERR1762952 ,1120.CH.Mfec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d73,,1120.CH.Mfec.CRON5.M3.PostCohousing.CRONdiet.Restricted.d73
