"","mouse","condition","fed","Genus","humanPer","mousePer","reduced_pct"
"59","ERR1310089","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,8.928327645,1.498137442
"60","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.944716585,3.35759568,1.829475021
"61","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Streptococcus",4.350361558,0.195664084,-4.474684444
"62","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,11.05110746,1.805866518
"63","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",1.522043387,3.52195351,1.210366381
"64","ERR1310090","Infantformula+fruitsandvegetables","humanfood","[Eubacterium] dolichum[genus]",0.402379286,1.847068952,2.198609779
"65","ERR1310090","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",13.50011663,1.878375205,-2.845414696
"66","ERR1310091","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,15.21466625,2.267138253
"67","ERR1310091","Infantformula+fruitsandvegetables","humanfood","[Eubacterium] dolichum[genus]",0.402379286,1.613914134,2.003935879
"68","ERR1310091","Infantformula+fruitsandvegetables","humanfood","Streptococcus",4.350361558,0.376057662,-3.532109511
"69","ERR1310091","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",1.522043387,4.951425885,1.70183456
"70","ERR1310091","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.944716585,4.042619868,2.097337061
"71","ERR1310091","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",0.507347796,1.645252272,1.69726183
"72","ERR1310091","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",13.50011663,0.360388593,-5.227274714
"73","ERR1310092","Infantformula+fruitsandvegetables","humanfood","Hespellia",0.944716585,2.09913565,1.151841908
"74","ERR1310092","Infantformula+fruitsandvegetables","humanfood","[Eubacterium] dolichum[genus]",0.402379286,0.740871406,0.880667114
"75","ERR1310092","Infantformula+fruitsandvegetables","humanfood","Ruminococcus",3.160718451,4.180631505,0.403468356
"76","ERR1310092","Infantformula+fruitsandvegetables","humanfood","Lachnoclostridium",1.522043387,4.515787617,1.568968151
"77","ERR1310092","Infantformula+fruitsandvegetables","humanfood","Bifidobacterium",13.50011663,0.352795908,-5.257994235
"78","ERR1310092","Infantformula+fruitsandvegetables","humanfood","Streptococcus",4.350361558,0.194037749,-4.486726054
"79","ERR1310092","Infantformula+fruitsandvegetables","humanfood","Ruminiclostridium",0.507347796,0.141118363,-1.846069348
"80","ERR1310093","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,1.319796954,1.713688049
"81","ERR1310093","Infantformula","humanfood","Hespellia",0.944716585,1.692047377,0.840816474
"82","ERR1310093","Infantformula","humanfood","Bifidobacterium",13.50011663,0.13536379,-6.639986191
"83","ERR1310093","Infantformula","humanfood","Lachnoclostridium",1.522043387,3.666102651,1.268237697
"84","ERR1310093","Infantformula","humanfood","Ruminococcus",3.160718451,2.030456853,-0.638448159
"85","ERR1310093","Infantformula","humanfood","Streptococcus",4.350361558,0.157924422,-4.783829112
"86","ERR1310094","Infantformula","humanfood","Bifidobacterium",13.50011663,0.743734842,-4.1820397
"87","ERR1310094","Infantformula","humanfood","Hespellia",0.944716585,2.376717866,1.331017164
"88","ERR1310094","Infantformula","humanfood","Lachnoclostridium",1.522043387,6.402586904,2.072645445
"89","ERR1310094","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,1.584478577,1.977380209
"90","ERR1310094","Infantformula","humanfood","Ruminococcus",3.160718451,5.869037995,0.892871519
"91","ERR1310094","Infantformula","humanfood","Streptococcus",4.350361558,0.226354082,-4.264482076
"92","ERR1310095","Infantformula","humanfood","Bifidobacterium",13.50011663,3.818301514,-1.821968936
"93","ERR1310095","Infantformula","humanfood","Hespellia",0.944716585,3.917050691,2.051814308
"94","ERR1310095","Infantformula","humanfood","[Eubacterium] dolichum[genus]",0.402379286,2.567478604,2.673724309
"95","ERR1310095","Infantformula","humanfood","Lachnoclostridium",1.522043387,3.423304806,1.169380269
"96","ERR1310095","Infantformula","humanfood","Ruminococcus",3.160718451,14.18696511,2.166241565
"97","ERR1310095","Infantformula","humanfood","Ruminiclostridium",0.507347796,0.153609831,-1.723704527
"98","ERR1310095","Infantformula","humanfood","Streptococcus",4.350361558,0.153609831,-4.823792852
"99","ERR1310096","Infantformula","humanfood","Ruminiclostridium",0.507347796,1.609238925,1.665331556
